segment.tag	transport_type	station_name	trip_distance	day.type	h.arrival.time	h.departure.time	next.station_name	next.trip_distance	next.h.arrival.time	next.h.departure.time	frequency	timetable.day.from	timetable.day.to	median.next.delta.arrival.min	q80.next.delta.arrival.min	trip.description
Allaman 289 Morges 295	RE	Allaman	37544.8	week days	288	289	Morges	45762	295	296	1	2017-01-24	2018-11-27	0.366666666666667	1.75	Genève-Lausanne
Allaman 349 Morges 355	RE	Allaman	37544.8	week days	348	349	Morges	45762	355	356	1	2017-01-24	2018-11-27	0.15	1.25	Genève-Lausanne
Allaman 379 Morges 385	RE	Allaman	37544.8	week days	378	379	Morges	45762	385	386	1.004158004158	2017-01-24	2018-11-27	0.2	1.03333333333333	Genève-Lausanne
Allaman 409 Morges 415	RE	Allaman	37544.8	week days	408	409	Morges	45762	415	416	1	2017-01-24	2018-11-27	0.116666666666667	0.916666666666667	Genève-Lausanne
Allaman 439 Morges 445	RE	Allaman	37544.8	week days	438	439	Morges	45762	445	446	1	2017-01-24	2018-11-27	0.683333333333333	1.90666666666667	Genève-Lausanne
Allaman 469 Morges 475	RE	Allaman	37544.8	week days	468	469	Morges	45762	475	476	1	2017-01-24	2018-11-27	0.483333333333333	1.73333333333333	Genève-Lausanne
Allaman 499 Morges 505	RE	Allaman	37544.8	week days	498	499	Morges	45762	505	506	1	2017-01-24	2018-11-27	0.55	2.00666666666667	Genève-Lausanne
Allaman 529 Morges 535	RE	Allaman	37544.8	week days	528	529	Morges	45762	535	536	1	2017-01-24	2018-11-27	0.933333333333333	3.00666666666667	Genève-Lausanne
Allaman 559 Morges 565	RE	Allaman	37544.8	week days	558	559	Morges	45762	565	566	0.997920997920998	2017-01-24	2018-11-27	0.283333333333333	2.09666666666667	Genève-Lausanne
Allaman 589 Morges 595	RE	Allaman	37544.8	week days	588	589	Morges	45762	595	596	1	2017-01-24	2018-11-27	0.35	2.06333333333333	Genève-Lausanne
Allaman 619 Morges 625	RE	Allaman	37544.8	week days	618	619	Morges	45762	625	626	1	2017-01-24	2018-11-27	0.0166666666666667	0.886666666666667	Genève-Lausanne
Allaman 649 Morges 655	RE	Allaman	37544.8	week days	648	649	Morges	45762	655	656	0.995841995841996	2017-01-24	2018-11-27	0.433333333333333	1.91666666666667	Genève-Lausanne
Allaman 679 Morges 685	RE	Allaman	37544.8	week days	678	679	Morges	45762	685	686	0.997920997920998	2017-01-24	2018-11-27	0.15	0.933333333333333	Genève-Lausanne
Allaman 709 Morges 715	RE	Allaman	37544.8	week days	708	709	Morges	45762	715	716	0.997920997920998	2017-01-24	2018-11-27	-0.0333333333333333	0.966666666666667	Genève-Lausanne
Allaman 739 Morges 745	RE	Allaman	37544.8	week days	738	739	Morges	45762	745	746	0.993762993762994	2017-01-24	2018-11-27	0.0833333333333333	0.85	Genève-Lausanne
Allaman 769 Morges 775	RE	Allaman	37544.8	week days	768	769	Morges	45762	775	776	0.997920997920998	2017-01-24	2018-11-27	0.05	1.06666666666667	Genève-Lausanne
Allaman 799 Morges 805	RE	Allaman	37544.8	week days	798	799	Morges	45762	805	806	1	2017-01-24	2018-11-27	-0.0333333333333333	0.606666666666667	Genève-Lausanne
